Date;Market Return;SML;HML;Risk Free Rate
20090101;NA;0;-9,93E-18;0.0000044
20090102;0.042958199;-0.005402818;-0.007032507;0.0000044
20090105;-0.000855531;0.010908801;-0.007730832;0.0000044
20090106;0.009480611;0.018807265;0.002078253;0.0000044
20090107;-0.028151793;0.001327519;-0.006129752;0.0000044
20090108;0.011228357;0.008676523;0.001331947;0.0000044
20090109;-0.023552556;-0.011066985;-0.007275702;0.0000044
20090112;-0.017893404;-0.004152899;-0.007385097;0.0000044
20090113;0.001256791;0.00649453;-0.000369189;0.0000044
20090114;-0.032611248;-0.004171169;-0.004474371;0.0000044
20090115;0.017278039;0.013902631;-0.014305492;0.0000044
20090116;0.012351673;0.002268343;-0.008653313;0.0000044
20090119;0;-1,60E-02;2,73E-02;0.0000044
20090120;-0.05135625;-0.004067292;-0.01468106;0.0000044
20090121;0.043237222;7,12E+00;0.003508262;0.0000044
20090122;-0.014907475;-0.00744552;-0.008071923;0.0000044
20090123;0.0066869;-0.005120588;0.000705726;0.0000044
20090126;0.007379615;0.008198595;-0.002647189;0.0000044
20090127;0.008312162;-0.001182612;-0.004013322;0.0000044
20090128;0.034841813;-0.004557563;0.009723085;0.0000044
20090129;-0.025939029;-0.000768811;-0.010703606;0.0000044
20090130;-0.019608319;0.006099987;-0.004321483;0.0000044
20090202;0.013259404;0.015185826;-0.006451391;0.0000096
20090203;0.016660695;-0.004060702;-0.012999814;0.0000096
20090204;6,41E+00;-0.001347983;-0.009853494;0.0000096
20090205;0.02442775;-0.002416918;-0.002887573;0.0000096
20090206;0.026026519;-0.001085485;0.011571009;0.0000096
20090209;0.003253656;-0.011226616;0.00148108;0.0000096
20090210;-0.040808421;0.012691359;-0.016714537;0.0000096
20090211;-0.001639072;-0.006089321;0.008289256;0.0000096
20090212;0.012856508;0.000669725;-0.008500127;0.0000096
20090213;-0.004784464;0.006272717;-0.00788135;0.0000096
20090216;0;-7,92E-03;4,36E-02;0.0000096
20090217;-0.039852393;0.007387121;-0.011090368;0.0000096
20090218;0.001532423;-0.007019551;-0.005983079;0.0000096
20090219;-0.017567258;-0.000230664;-0.012916097;0.0000096
20090220;0.004130958;-0.003790963;-0.004077417;0.0000096
20090223;-0.037224734;-0.002990488;0.006494091;0.0000096
20090224;0.037630194;-0.006132511;0.010782692;0.0000096
20090225;-0.008759185;-0.013547785;0.00051006;0.0000096
20090226;-0.029005779;-0.00371346;0.009318561;0.0000096
20090227;-0.008979789;0.018421939;-0.010781141;0.0000096
20090302;-0.036096652;-0.009817311;-0.000703389;0.0000104
20090303;0.00373852;-0.007151769;-0.01951534;0.0000104
20090304;0.027448652;0.003326504;-0.008227966;0.0000104
20090305;-0.032223039;-0.005571064;-0.013640755;0.0000104
20090306;-0.009138287;-5,99E+00;-0.006318374;0.0000104
20090309;-0.019476962;-0.011676857;-0.002179996;0.0000104
20090310;0.065691323;-0.007134066;0.01407069;0.0000104
20090311;0.012286451;-0.008071884;0.001270945;0.0000104
20090312;0.034417866;0.01301962;0.01170893;0.0000104
20090313;0.003271356;0.001774829;0.002757658;0.0000104
20090316;-0.019738812;-0.007627527;0.008252572;0.0000104
20090317;0.040781692;0.004501228;0.007828352;0.0000104
20090318;0.012400838;-0.001623966;0.025837677;0.0000104
20090319;-0.00227906;0.015358944;-0.013047564;0.0000104
20090320;-0.014133391;-0.000826721;0.001917983;0.0000104
20090323;0.0611757;-0.004771062;0.022446697;0.0000104
20090324;-0.020206462;-0.01111263;-0.011934054;0.0000104
20090325;0.001913491;0.01494168;0.002632329;0.0000104
20090326;0.036090415;0.021128466;0.00141764;0.0000104
20090327;-0.023265164;-0.013117353;0.001618015;0.0000104
20090330;-0.024494995;0.013827235;-0.02359387;0.0000104
20090331;0.013263592;-0.001737323;0.007980294;0.0000104
20090401;0.012539973;-0.003775879;0.011061793;0.0000084
20090402;0.033359458;0.012370614;0.00820382;0.0000084
20090403;0.016895951;-0.00071278;0.004184974;0.0000084
20090406;-0.002156286;-0.004917201;-0.005762019;0.0000084
20090407;-0.02869914;-0.005364931;-0.003066023;0.0000084
20090408;0.01986316;0.01115803;0.000593209;0.0000084
20090409;0.030391095;0.005861378;0.025837942;0.0000084
20090410;0;-1,20E-02;-3,34E-02;0.0000084
20090413;-0.002697157;-0.007801904;0.012534834;0.0000084
20090414;-0.010745105;0.002572268;-0.021747597;0.0000084
20090415;-0.004380002;-0.00021409;0.017368114;0.0000084
20090416;0.027702119;0.013204959;0.002526086;0.0000084
20090417;0.000689507;0.011208208;0.00462549;0.0000084
20090420;-0.032901253;-0.000400462;-0.031657707;0.0000084
20090421;0.015036143;0.00997665;0.018265253;0.0000084
20090422;0.005008482;0.017172816;-0.007231102;0.0000084
20090423;0.006511317;-0.02472383;0.00181152;0.0000084
20090424;0.021467603;0.006056342;-0.001777177;0.0000084
20090427;-0.00242715;-0.004838525;-0.013327129;0.0000084
20090428;-0.005859195;0.015577359;0.003368115;0.0000084
20090429;0.015112487;0.012902422;0.007200495;0.0000084
20090430;0.008645715;-0.000870146;-0.005057545;0.0000084
20090501;0.001637665;-0.000790744;0.002083488;0.0000056
20090504;0.02244455;0.001690804;0.017731684;0.0000056
20090505;-0.002687843;0.003151288;-0.000902131;0.0000056
20090506;2,05E-01;-0.013424939;0.018345481;0.0000056
20090507;-0.023873204;-0.008427082;-0.002956242;0.0000056
20090508;0.003180328;0.007170236;0.025703728;0.0000056
20090511;0.001212358;0.016520313;-0.015267637;0.0000056
20090512;-0.013145808;-0.006331976;-0.011445726;0.0000056
20090513;-0.027156628;-0.017031812;-0.01707338;0.0000056
20090514;0;0.004502456;0.00513207;0.0000056
20090515;0.011467424;0.002868293;-0.00995034;0.0000056
20090518;0.027763047;0.003200119;0.012949478;0.0000056
20090519;0.004176777;0.004079195;-0.007665669;0.0000056
20090520;-0.003048378;0.000880863;-0.009311409;0.0000056
20090521;-0.018889477;4,05E+00;9,27E+00;0.0000056
20090522;-0.003088173;-0.004232346;-0.004237886;0.0000056
20090525;0;3,73E-03;-1,13E-04;0.0000056
20090526;0.036268471;0.014574391;0.004656295;0.0000056
20090527;-0.00731181;0.003583412;-0.010446517;0.0000056
20090528;0.013194512;-0.01084865;0.002338683;0.0000056
20090529;0.01074064;0.003909591;-0.002748397;0.0000056
20090601;0.028938972;0.011933899;-0.004023549;0.0000056
20090602;0.002161445;0.005980838;-0.000437582;0.0000056
20090603;-0.003218786;0.010214925;-0.008237253;0.0000056
20090604;0.011726329;0.003947073;0.004934705;0.0000056
20090605;0.000325026;0.004011032;-0.003283881;0.0000056
20090608;-0.003164721;-0.006621877;0.002733763;0.0000056
20090609;0.008768098;0.002239455;-0.003733187;0.0000056
20090610;-0.00409068;-0.002146216;-0.002802546;0.0000056
20090611;0.001180982;-0.001810547;0.002666439;0.0000056
20090612;-0.004705394;0.000251106;0.000765075;0.0000056
20090615;-0.022153485;-0.003456693;-0.000168358;0.0000056
20090616;-0.009409775;-0.003170858;-0.000250616;0.0000056
20090617;0.008759664;0.007604714;-0.006806637;0.0000056
20090618;-0.001446156;-0.004643685;0.00222775;0.0000056
20090619;0.011999786;0.001760828;-0.002105403;0.0000056
20090622;-0.030329609;-0.006579466;-0.0007943;0.0000056
20090623;-0.001509845;-0.009042117;-0.000249695;0.0000056
20090624;0.015904586;0.001336199;0.00054264;0.0000056
20090625;0.019866173;0.008232005;0.001018099;0.0000056
20090626;0.002984663;0.014256449;-0.002411799;0.0000056
20090629;0.002451414;-0.012570779;0.004362307;0.0000056
