observation_date;TEDRATE;Ted_lag;Ted_diff;R_BAB;BAB_lagged;R_BAB_SD;BAB_SD_lagged;BS;BS_SD;MarketReturn
2013-10-23;20;20;0;-0.00461168930029267;0;-0.00480689993247597;0;0.779257478537298;0.780519572139088;-0.0195199580143139
2013-10-24;21;20;1;0.00677886930964568;-0.00461168930029267;0.00663570853005854;-0.00480689993247597;0.773094516338895;0.774291358521671;0.00418431113547624
2013-10-25;20;21;-1;-0.0142000119626582;0.00677886930964568;-0.014382478877994;0.00663570853005854;0.773821202787505;0.775120008945233;-0.0274863814716368
2013-10-28;20;20;0;0.00427537138624211;-0.0142000119626582;0.00448928004785117;-0.014382478877994;0.775800835314463;0.777123360981279;0.0218514931427998
2013-10-29;20;20;0;0.0052740660363502;0.00427537138624211;0.00561670426307588;0.00448928004785117;0.776446147875504;0.777769730893501;-0.00486398154378553
2013-10-30;20;20;0;-0.00193793397216891;0.0052740660363502;-0.00183059397926569;0.00561670426307588;0.77788772848479;0.779244039620435;0.0123826359105135
2013-10-31;20;20;0;0.00643213269629759;-0.00193793397216891;0.00652951510628654;-0.00183059397926569;0.778401908940007;0.779785044580831;-0.0120265175910899
2013-11-01;20;20;0;-0.00069312316633945;0.00643213269629759;-0.00128783379257362;0.00652951510628654;0.778353301491713;0.779722488874147;-0.0087541268109802
2013-11-04;19;20;-1;-2.01502235388356E-06;-0.00069312316633945;-2.06720745372262E-06;-0.00128783379257362;0.774251582033079;0.775637045960762;0
2013-11-05;19;19;0;0.00638090264846507;-2.01502235388356E-06;0.00633730898877042;-2.06720745372262E-06;0.775393825588969;0.776717574792165;0.00168162199553779
2013-11-06;19;19;0;0.000875213666861904;0.00638090264846507;0.00103709761543572;0.00633730898877042;0.775465880225964;0.776829728120352;0.00786924821712742
2013-11-07;19;19;0;0.000123292011369812;0.000875213666861904;0.00014983645461528;0.00103709761543572;0.775983688756954;0.777334185389606;-0.00757957028835476
2013-11-08;18;19;-1;-0.0030270371539166;0.000123292011369812;-0.00311038067720582;0.00014983645461528;0.773206535786117;0.774458875708997;-0.00995475773141985
2013-11-11;0;18;-18;-0.00823988839034321;-0.0030270371539166;-0.00877698318574405;-0.00311038067720582;0.77169893356274;0.772973211150216;0.0129995074232736
2013-11-12;16;0;16;0.00308950357540741;-0.00823988839034321;0.00352370899477746;-0.00877698318574405;0.769090191194593;0.770338559060952;0.0223435194921611
2013-11-13;16;16;0;-0.00783224000512005;0.00308950357540741;-0.00793444031825708;0.00352370899477746;0.771721587606257;0.773012506784179;-0.00147525428101158
2013-11-14;16;16;0;0.000442447759307024;-0.00783224000512005;0.000705413267318565;-0.00793444031825708;0.770030237668217;0.771333517784191;0.0212292667729823
2013-11-15;16;16;0;-0.00102337660927297;0.000442447759307024;-0.000874722627833252;0.000705413267318565;0.770855303583215;0.772158839641627;0.0194612115068036
2013-11-18;15;16;-1;0.00511961017448817;-0.00102337660927297;0.00546219437007798;-0.000874722627833252;0.770956963894139;0.772246085725997;-0.000106740673533667
2013-11-19;16;15;1;-0.00092784249018044;0.00511961017448817;-0.000787617821695462;0.00546219437007798;0.769155986482788;0.770415145830626;-0.00248860056706335
2013-11-20;16;16;0;-0.00106443067469265;-0.00092784249018044;-0.00150159741000857;-0.000787617821695462;0.769245332279329;0.770486910108321;-0.00333723599842684
2013-11-21;17;16;1;0.00393766122633408;-0.00106443067469265;0.0038631016206828;-0.00150159741000857;0.768409949578073;0.7696137194144;0.0192039162222846
